01544552-9681-4c04-af0b-4ec496ce48a8,18,Accessibility features,16
6fb3c4f5-7ee2-4637-b284-96f235ab6f3a,18,Coffee maker,1
09cc8039-7080-408d-b163-71c3075d9185,21,Gym,23
2b09abe7-2c05-4148-81c8-137fa70a3be1,21,Toiletries,4
55ed293d-6c59-4a22-8308-76bb833c3f7d,20,Parking,3
cf2d337c-30b4-4603-8acf-7e46196f3636,24,Towels,24
f7fae82a-d327-4df3-981c-1d51b1ed4918,1,Swimming pool,6
435f29ce-a1c8-4340-9ebf-480543344050,24,Gym,21
90c13d3b-19c1-401f-8667-b25b0512a3c4,2,Microwave,5
198b557d-dc83-4129-a766-7b88c0a11bf2,5,Stove,25
8f2ebacc-4376-449a-8290-9368a1247975,2,Dining table,22
6a371ca8-0a94-4fec-be22-7a0f7ed9fdec,24,Microwave,25
85257139-885a-4e1b-b6e2-cf17f29fad4c,5,Towels,16
7173c7b0-bad6-4d65-a7fa-6342db8039ea,3,Fitness equipment,2
ab914d06-ecbd-4037-9c92-b5b2bd5fd777,8,Pet-friendly,16
654b255c-1814-4a93-9d48-06d10175db24,21,Heating,18
1ae7b73d-a2bf-43f5-ae29-a0c6fb25fcc6,9,Fitness equipment,11
86ce331e-c9cc-4578-8f7f-e35fbf469164,6,Cookware and utensils,17
a9c89a16-5dc7-4a21-bcec-006705155d9e,13,Fitness equipment,11
f9c2e41c-fa6c-4faa-bbd5-701aa42856aa,25,Shower,14
e7807658-ef37-4e07-9175-517c9c9c3449,6,Dining table,11
45b295fc-9220-4fd8-a22c-2e0143faa494,18,Security system,8
9cbb3a4a-cc98-4585-8832-9de37bf14e51,20,Dishwasher,2
f024a40b-9f2e-4381-8d6f-eebf717696ab,18,Dining table,11
27b4bb52-d8f1-4398-80f0-4742e0866a79,18,Shower,10
6eea418f-214b-48fd-af6b-2050a83e0861,14,Fitness equipment,23
9314580d-5dcf-4e85-8099-0b021250253b,10,Shower,1
ba215b67-3041-4c60-9009-15c37231aff3,19,Oven,18
23ab1759-5a51-469f-8f95-4071462a3cde,24,Air conditioning,18
5a1d5ec0-e0c8-400c-bb61-7608632d05fa,25,Oven,8
f942d960-a724-496a-902e-e50124ca5afa,25,Dishwasher,7
